characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
71,0,1,1,0,0,0,1,2,0,0,-1,0.22,-1,1,81,neutral
47,1,1,0,1,0,0,1,1,1,0,0,1,-1,1,5,good
59,0,1,1,1,0,0,0,5,5,0,0,0.17,1,1,526,bad
118,1,1,1,0,0,0,0,2,8,0,0,1,1,1,83,bad
21,1,1,1,1,0,0,1,2,8,0,0,0.57,1,1,78,neutral
101,0,0,1,1,0,0,1,7,5,0,0,0.81,0.98,0.81,438,bad
42,1,1,1,1,0,0,1,2,5,0,0.2,0.5,0.62,0.62,92,neutral
118,1,0,1,0,0,0,1,4,1,0,0,-1,-1,1,125,bad
19,1,0,1,1,1,0,0,5,3,0,0,-1,0.02,-1,208,bad
64,1,1,1,1,0,0,1,2,3,0,0,1,0.4,1,30,good
36,1,1,1,1,0,0,0,3,17,0,0,1,1,0.44,65,neutral
32,1,0,1,1,0,0,1,1,0,0,-1,1,1,1,120,good
21,1,0,1,1,0,0,1,3,2,0,0.5,0.78,1,1,142,bad
42,1,1,0,1,0,0,1,1,1,0,0,-1,1,-1,26,good
96,0,1,1,0,0,0,1,1,0,0,-1,0.7,1,0.7,119,bad
113,0,0,1,1,0,0,1,9,41,0,0.78,1,1,1,227,bad
75,0,1,1,0,0,0,1,4,25,0,0,0.46,1,0.54,506,bad
42,1,1,1,1,0,0,1,8,6,0,0,-1,-1,-1,24,neutral
77,1,1,1,1,1,0,1,1,6,0,0,-1,-1,-1,6,bad
29,1,1,1,1,0,0,1,2,0,0,-1,0.1,0.9,0.1,331,bad
18,1,1,1,1,0,0,1,1,0,0,-1,1,1,1,16,good
65,1,1,1,1,0,0,1,1,0,0,-1,1,0.74,1,91,good
36,0,1,0,1,0,0,1,3,4,0,0,1,1,1,57,neutral
94,1,1,1,1,0,0,1,2,2,0,1,1,1,1,12,bad
37,1,1,1,1,1,0,1,2,2,0,0,-1,-1,-1,3,good
48,1,1,1,1,0,0,1,5,0,0,-1,1,0.65,1,182,good
60,1,0,1,0,0,0,1,4,7,0,0,-1,1,1,88,bad
39,1,1,1,1,0,0,1,9,8,0,0,1,1,1,58,neutral
